No_CMN,Nom_CMN,PCA1,PCA2,PCA3,PCA4,clust_ward,id
"5539",Vuarrens,-2.21036621967651,2.73993425753905,2.08102920632016,-1.68506538038006,"6","132"
"5541",Goumoëns,-2.75060805129886,2.83390818899803,0.13513895739489,-0.761105716953746,"6","133"
"5535",Saint-Barthélemy (VD),-2.58874309959678,1.83382343957885,2.87502728634855,-2.87915407494624,"6","134"
"5537",Villars-le-Terroir,-1.39282406715314,3.37179799458232,1.26226840500207,-2.48758594137103,"6","135"
"5531",Penthéréaz,-3.07047048286095,3.10293412086765,1.30973316491911,-1.61810359924519,"6","136"
"5534",Rueyres,-3.80251953111993,2.26019613229405,1.19968715846827,1.19082255226792,"6","137"
"5533",Poliez-Pittet,-2.79212251218646,1.57871336145559,0.250739415381301,-2.93513372467763,"6","138"
"5527",Morrens (VD),-1.13867306306291,2.54806735937484,-0.228386848045207,0.613901178270642,"6","139"
"5530",Pailly,-2.93525639429805,2.19734557710669,1.30971859685069,-1.16368806828713,"6","140"
"5529",Oulens-sous-Echallens,-2.02960004781455,3.68397101478589,0.621403810126835,-2.12305165218752,"6","141"
"5472",Bournens,-1.56310187475175,2.19138240358186,0.47920549598306,-0.853722019981391,"6","142"
"5471",Bettens,-0.692549008996573,4.36009488216992,3.70603585018163,-4.87828122456731,"6","143"
"5473",Boussens,-1.09355780139662,3.88684603989171,2.23589397850176,-2.02612886562597,"6","144"
"5487",Lussery-Villars,-1.86954685273087,2.93168733635369,3.54622152692958,-2.46828669178303,"6","145"
"5489",Mex (VD),1.018444824617,2.25644924986112,-0.333288820065444,-0.763187659329593,"1","146"
"5480",Daillens,-0.942119571735332,3.99002565401057,1.91298263193128,-2.32500179656958,"6","147"
"5503",Vufflens-la-Ville,0.671209279933638,2.64648785404388,0.531610237004396,-0.146198781003438,"1","148"
"5501",Sullens,-1.15642759748882,3.29364304208161,0.386616578824145,-0.315653195300691,"6","149"
"5496",Penthaz,0.187936585636322,1.19053836714448,2.10821580955925,-0.868813447285133,"6","150"
"5495",Penthalaz,1.02803583120977,-1.0133162174449,3.06988784484168,-0.56210271059476,"7","151"
"5661",Boulens,-3.3752391271961,1.4112468735389,0.091331856433107,-0.68366022915915,"5","152"
"5680",Ogens,-4.10331359810591,2.23009276824705,0.518531297613112,-1.12501911237458,"5","153"
"5693",Montanaire,-3.78248410394409,0.72410814234289,-0.346133758408564,-2.12560009528928,"2","154"
"5804",Jorat-Menthue,-2.55645592344403,1.82731209621577,-0.25661442559715,-2.85326588338384,"6","155"
"5843",Rougemont,-3.28163481892875,-7.23216443804874,-6.38130259210925,0.503103891663432,"9","156"
"5842",Rossinière,-5.66818787547082,-4.56751104710148,-4.20976685751303,-0.504941842718468,"9","157"
"5841",Château-d'Oex,-4.71021396250393,-10.118440126916,-7.24527941777978,-1.7876052874991,"9","158"
"5891",Veytaux,2.21571158524905,-3.75392638224396,-2.25885072932491,-0.75793112704435,"8","159"
"5888",Saint-Légier-La Chiésaz,4.62100029003412,-0.727609500183948,-3.76585063844613,1.26989352123141,"3","160"
"5890",Vevey,9.99068929227967,-6.83731348230641,6.05408509852126,0.180337930202961,"4","161"
"5889",La Tour-de-Peilz,6.84609090531903,-3.38935329425736,1.22415664674212,4.94417555768439,"3","162"
"5884",Corsier-sur-Vevey,2.04525937524436,-3.22090761934702,1.73121143911912,1.12073819693447,"7","163"
"5883",Corseaux,6.62295882771672,-0.801256175082938,-1.13211963578521,7.78588186585889,"3","164"
"5886",Montreux,4.36666730200299,-7.57017138082975,-3.21142230340493,-0.131876868001288,"8","165"
"5885",Jongny,3.27187114699201,2.41133382604697,-2.29651083352042,2.57164009207216,"1","166"
"5882",Chardonne,2.43736523891307,0.324475616634121,-2.63330602121137,2.15774254905005,"1","167"
"5881",Blonay,1.63193359940752,-1.08800575558564,-4.87451199530674,1.5709178289667,"2","168"
"5831",Valbroye,-2.95264118435733,-3.62005921542524,1.24166637452092,-0.516159995360808,"8","169"
"5456",Cudrefin,-2.03281623699438,1.3823151577116,0.76726735513914,-1.1378060512689,"6","170"
"5458",Faoug,-0.069768594390388,1.44889361582174,2.67470478088159,-0.761589153485058,"6","171"
"5451",Avenches,1.78487093753848,-5.23580010605033,2.09368803338384,-1.62677473701712,"8","172"
"5464",Vully-les-Lacs,-2.21616769004101,0.188219162443031,0.589828545306068,0.549301793714495,"5","173"
"5669",Curtilles,-3.96716132725109,-0.751545256492287,2.82476593946509,0.847230302782672,"5","174"
"5663",Bussy-sur-Moudon,-4.95404825957558,-0.247770347437059,1.28749724494144,1.1295468140149,"5","175"
"5665",Chavannes-sur-Moudon,-5.63258491748569,-0.106417652287012,0.270054092620582,2.86917154317724,"5","176"
"5684",Rossenges,0.117691020427756,2.50314735959167,-2.02766046277842,2.839777014648,"1","177"
"5683",Prévonloup,-4.35017757776051,-2.20997899862921,1.0512843718201,3.35170862565747,"5","178"
"5675",Lucens,0.97526897571733,-5.07953007436123,2.03670101803487,-1.50143655651962,"8","179"
"5678",Moudon,2.85305909055138,-6.53037482036604,2.91771227092971,-2.80051686711958,"8","180"
"5671",Dompierre (VD),-5.00078891128981,-1.72140598583437,1.28801719461388,2.50426173204485,"5","181"
"5674",Lovatens,-6.08971927034111,-1.30585650025611,1.80309521956417,3.28322319820354,"5","182"
"5673",Hermenches,-3.87572436522948,1.12320767503868,0.713944876734217,0.467361332926472,"5","183"
"5692",Vucherens,-1.03858379801292,0.773209926272122,0.889877712641721,-0.860266659071641,"6","184"
"5688",Syens,-1.21367306729557,-0.519865007722662,0.339025383077697,1.10919641956954,"5","185"
"5690",Villars-le-Comte,-5.99324374941386,-3.78130286390371,0.490188490982938,4.25502554914282,"5","186"
"5798",Ropraz,-0.64100865362235,2.35726102391322,0.601728364556209,-2.01665523209529,"6","187"
"5785",Corcelles-le-Jorat,-2.38921627066055,0.262677714227398,-1.64393074990788,0.728246476352466,"2","188"
"5812",Champtauroz,-3.47096720159365,-1.1885752113476,0.510431369755648,3.49296540628931,"5","189"
"5813",Chevroux,-3.05613430853026,-0.979148725731953,1.56888068829156,1.88625517999306,"5","190"
"5803",Vulliens,-2.67237834737711,1.75766460103033,1.15223486190602,-1.97850145416362,"6","191"
"5828",Treytorrens (Payerne),-5.76074568003759,0.767318682113088,0.111897843903236,3.7458691183455,"5","192"
"5827",Trey,-3.91676485622604,0.023180733832824,2.44072665660278,2.35611161191527,"5","193"
"5830",Villarzel,-4.17905724718504,0.218441051865529,1.62284932309229,0.305765699786214,"5","194"
"5819",Henniez,-0.336950412383552,-2.36908100468743,3.11415325914582,-0.191551898933377,"7","195"
"5822",Payerne,2.10221154724589,-6.84704594033068,3.27079511367603,-0.65280658292115,"8","196"
"5821",Missy,-2.72601077877145,-1.44679300713244,1.92817071741274,2.64521217229063,"5","197"
"5816",Corcelles-près-Payerne,0.166817526747824,-2.48100600991314,3.63472211597527,-0.045370563458666,"7","198"
"5817",Grandcour,-3.55152487965113,-0.911973649568542,1.73281914025276,1.42052652712032,"5","199"
"5851",Allaman,2.51432778935897,-0.379595593242757,-0.143770166701322,0.599683646361994,"1","200"
"5428",Gimel,-0.960967992606125,-2.65859787712114,-1.40887403746289,-2.18589310294119,"8","201"
"5427",Féchy,3.15108820301818,3.58838534005318,-1.62097888095969,0.808215801393929,"1","202"
"5424",Berolle,-3.93138069718669,1.18446037389782,-1.19074467590444,-2.63707784816096,"2","203"
"5423",Ballens,-2.4957913896618,-0.125011239023067,0.181992121833003,-0.248229590218659,"5","204"
"5426",Bougy-Villars,6.48706525006507,0.545452554314645,-6.65573784972034,1.69739929983405,"3","205"
"5425",Bière,-1.44303680587428,-5.89826275515818,0.385278059415607,-1.83185763531043,"8","206"
"5422",Aubonne,3.0401782735102,-0.501955976766418,-0.681928351922186,-1.30687587138148,"1","207"
"5436",Saint-Oyens,-1.16228580179007,2.31002670129485,-0.000910766380284,-2.53747538679634,"6","208"
"5435",Saint-Livres,-1.29565727109482,0.852351429760264,-0.039664761371859,-1.54705681702466,"6","209"
"5437",Saubraz,-0.715810839216833,0.311159867469231,0.973110480244978,-3.38637664094932,"6","210"
"5431",Mollens (VD),-3.44680193301403,-0.925226989195938,-0.524670511020222,-2.22482062792754,"2","211"
"5476",Chevilly,-1.89786447946497,3.88208295240397,1.25696791569228,-1.0635029928264,"6","212"
